"","ID","starting","assoc","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"177",177,0.001,FALSE,0.03,0.46,0.05,0.010183,0.000102548337949289,0.538726945752144,0.037065646405475,0.000254558335498101,100,1,41.686
"178",178,0.001,FALSE,0.03,0.48,0.05,0.010206,0.000124576048738078,0.537162719049418,0.0379748609746992,0.000285393395672671,100,1,37.1
"179",179,0.001,FALSE,0.03,0.5,0.05,0.010208,0.00012364824660661,0.539842120663508,0.035818986137254,0.000287134076756849,100,1,37.12
"180",180,0.001,FALSE,0.03,0.52,0.05,0.010186,0.000118082320198387,0.547249875015491,0.0413768619169906,0.000300783177960934,100,1,35.296
"181",181,0.001,FALSE,0.03,0.54,0.05,0.010188,0.000105677229182435,0.545411585717333,0.040768597812095,0.000328872052029024,100,1,32.012
"182",182,0.001,FALSE,0.03,0.56,0.05,0.010204,0.000114521401996097,0.549988351826279,0.0426326364132952,0.000336611101011513,100,1,31.336
"183",183,0.001,FALSE,0.03,0.58,0.05,0.010199,0.000135955280823653,0.549127588981747,0.036140891336436,0.000357034291185519,100,1,29.668
"184",184,0.001,FALSE,0.03,0.6,0.05,0.01022,0.000153741222957162,0.561286443665687,0.035191237978263,0.000370342457461285,100,1,28.334
"185",185,0.001,FALSE,0.03,0.62,0.05,0.010205,0.000119235782033632,0.556451381686593,0.0381391732303023,0.000386900525508004,100,1,27.166
"186",186,0.001,FALSE,0.03,0.64,0.05,0.010205,0.000112254220860554,0.550085435398288,0.0365868455600988,0.00041044061970865,100,1,25.538
"187",187,0.001,FALSE,0.03,0.66,0.05,0.010206,0.000129349577236701,0.554773400610414,0.0396477110252444,0.000414915863642199,100,1,25.198
"188",188,0.001,FALSE,0.03,0.68,0.05,0.010209,0.000118998344780951,0.558072836982716,0.0389350952162406,0.000433023669702338,100,1,24.112
"189",189,0.001,FALSE,0.03,0.7,0.05,0.010227,0.000126215304263402,0.56205138015802,0.0384665994093919,0.000449059232453999,100,1,23.426
"190",190,0.001,FALSE,0.03,0.72,0.05,0.010218,0.000131333487155732,0.556565481505556,0.0353705767770979,0.000460462138151384,100,1,22.724
"191",191,0.001,FALSE,0.03,0.74,0.05,0.010245,0.000132859004781442,0.561699387862344,0.0356656019816196,0.000464381287189813,100,1,22.544
"192",192,0.001,FALSE,0.03,0.76,0.05,0.010226,0.000133802205897475,0.566827714882267,0.0367100634978154,0.000492742682077172,100,1,21.368
"193",193,0.001,FALSE,0.03,0.78,0.05,0.010237,0.000141888418245899,0.567149744098811,0.0312895359427861,0.000487827682205831,100,1,21.456
