"","ID","protect","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p"
"161",161,0.5,0.4,0.14,0.05,9,500,0,0.854940045925064,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,0.5,0.4,0.16,0.05,9,500,0,0.832630191394128,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,0.5,0.4,0.18,0.05,9,500,0,0.85458953271413,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,0.5,0.4,0.2,0.05,9,500,0,0.861375856358144,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,0.5,0.4,0.22,0.05,9,500,0,0.848586928492619,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,0.5,0.4,0.24,0.05,9,500,0,0.845423572189692,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,0.5,0.4,0.26,0.05,9,500,0,0.851157683410889,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,0.5,0.4,0.28,0.05,9,500,0,0.858564604523902,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,0.5,0.4,0.3,0.05,9,500,0,0.834653271569146,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,0.5,0.4,0.32,0.05,9,500,0,0.843494683705891,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,0.5,0.4,0.34,0.05,9,500,0,0.843345029139891,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,0.5,0.4,0.36,0.05,9,500,0,0.83998711863274,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
