"","ID","assoc","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p","mean_p_largest","predict_largest","mismatch_PL"
"2855",2855,TRUE,0.04,0.98,0.05,10,634.24,214.573681724691,0.859898370816372,0.92254019990005,0.0028861837665438,0.925453504809198,1.00315859348428,9234.4,5,"COV",25.2771306388469,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769230769,NA,NA
"2856",2856,TRUE,0.04,1,0.05,10,762,185.536507339002,0.838493531888817,0.924564942528736,0.00284664484909341,0.927354692819995,1.00301817670095,9233.4,5,"COV",21.040701297987,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"2857",2857,TRUE,0.05,0,0.05,10,500,0,0.854319628975354,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2858",2858,TRUE,0.05,0.02,0.05,10,500,0,0.847167882621288,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2859",2859,TRUE,0.05,0.04,0.05,10,500,0,0.873518011358101,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2860",2860,TRUE,0.05,0.06,0.05,10,500,0,0.851930394219235,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2861",2861,TRUE,0.05,0.08,0.05,10,500,0,0.859598650042899,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2862",2862,TRUE,0.05,0.1,0.05,10,500,0,0.856038308127318,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2863",2863,TRUE,0.05,0.12,0.05,10,500,0,0.843367052760441,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2864",2864,TRUE,0.05,0.14,0.05,10,500,0,0.843074782248586,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2865",2865,TRUE,0.05,0.16,0.05,10,501.82,5.75534534150647,0.843593907256145,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2866",2866,TRUE,0.05,0.18,0.05,10,640.12,104.888690206968,0.851067312301602,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2867",2867,TRUE,0.05,0.2,0.05,10,1180.38,284.722015696402,0.847960376413539,0.000257866066966517,NA,0.0397295929336941,NA,6,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
"2868",2868,TRUE,0.05,0.22,0.05,5,1975.6,341.664835767452,0.866546930191107,0.0402901449275362,0.002779814327746,0.435524187922637,10.9825589188037,39.2,2,"DOWN",8.43800924389159,0.735787814295909,0.0329655116229796,4.55876302285453e-37,0.0491232763711673,0.00496505725287753,9.48087033728391e-16,NA,NA,NA,0.0100603621730382,14.8703254247598,-7.29851975854609
"2869",2869,TRUE,0.05,0.24,0.05,5,1866.12,518.970473148521,0.856938576507382,0.176006866566717,0.00487592083251946,0.473757705753777,2.69464504013646,61.4,2,"DOWN",18.3111987592293,0.660540241096624,0.0216525727303931,3.65185419995826e-67,0.0486491368318689,0.00250520572965325,3.02582671908632e-43,NA,NA,NA,0.00297619047619048,15.1759947274476,-8.53682604516884
"2870",2870,TRUE,0.05,0.26,0.05,9,1247.53333333333,508.750921375087,0.846558314499756,0.280529929479705,0.00591898373493608,0.511745378561451,1.82529744021258,112.222222222222,2,"DOWN",27.2111088426114,0.705447868451866,0.00880695906676075,2.94675705430436e-236,0.0232576107596832,0.000711236633612955,2.55117472075459e-111,NA,NA,NA,0.00237717908082409,27.9398303660216,-9.37189403687699
"2871",2871,TRUE,0.05,0.28,0.05,21,1589.17142857143,559.796392577567,0.849053517878721,0.365325939411247,0.00666399407210461,0.547325670861888,1.49856015831255,196.047619047619,2,"DOWN",58.5981878478133,0.673090551392945,0.00416922582753526,0,0.0119242295088719,0.000244237569851489,1.0131225160731e-272,NA,NA,NA,0.00243083690241926,34.9113718355826,-9.57233229333044
"2872",2872,TRUE,0.05,0.3,0.05,8,2951.075,1278.55912176838,0.865608441358199,0.438631896551724,0.00644610701360098,0.581927347421063,1.32688777919358,423.875,2,"DOWN",138.784969853161,0.701302115592962,0.00415810666087166,0,0.00313207424243552,0.000141182099214003,1.57795489279219e-72,NA,NA,NA,0.00288496213487198,69.5804814200199,-10.0907275925783
"2873",2873,TRUE,0.05,0.32,0.05,8,2370.125,1353.91294059636,0.846201833768282,0.498884795102449,0.00658805114087699,0.614349608896918,1.231561572652,1229.875,3,"PL",637.546510908364,0.735281230239749,0.00265427490318155,0,8.04442717321557e-05,4.79821355647742e-05,0.0945641151300529,NA,NA,NA,0.0038572806171649,187.032370353324,-10.7890745524773
"2874",2874,TRUE,0.05,0.34,0.05,10,2231.3,1008.34951281785,0.843181642550044,0.549462538730635,0.00666316547763032,0.644076272234828,1.17228377152669,4189.4,4,"UP",741.066228859173,0.963164383877016,0.00913067003653218,3.49824525467198e-201,NA,NA,NA,0.00661363653863334,0.000494438863859908,8.91460188777002e-31,0.00551876379690949,3081.25494838626,-13.2326936373657
"2875",2875,TRUE,0.05,0.36,0.05,9,1875.73333333333,1154.68619546611,0.877773596090265,0.594160769615192,0.00641175038613477,0.671643526469977,1.13046424347473,5321.77777777778,4,"UP",201.78749823625,1.10273499636963,0.0108534818800296,4.52473898423528e-152,NA,NA,NA,0.00845026893859482,0.000549426412430211,8.10151962919265e-34,0.00726392251815981,12848.5216578125,-14.3858193419134
"2876",2876,TRUE,0.05,0.38,0.05,10,1921.62,905.319432637515,0.869261153510306,0.633256606696652,0.00605487908271053,0.697278813542719,1.1011375418558,6148.2,4,"UP",123.431312432822,1.37087666172988,0.0197268776909141,4.23624377567231e-92,NA,NA,NA,0.011162194526449,0.000850069940269791,3.43557205802507e-24,0.0109529025191676,156281.003777553,-16.4735617596924
"2877",2877,TRUE,0.05,0.4,0.05,10,1097.44,675.749912977345,0.852926349902991,0.665072713643178,0.00590315512237649,0.719262247139612,1.08150771243778,6526,4,"UP",93.8272644573823,1.56499819404769,0.0319972601317445,5.68919402233877e-63,NA,NA,NA,0.0187172109140422,0.00134926797231251,2.49849504299228e-23,0.0160513643659711,933073.326645852,-17.8782004948668
